AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:15:42
Title: --Transient Thermal
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Deposition-Temp
   12773	 0.899999833E-03	-0.240000043E-02	 0.999999225E-04	  701.069505    
   12769	 0.899999833E-03	-0.210000040E-02	 0.399999928E-03	  701.079618    
   12770	 0.899999833E-03	-0.210000040E-02	 0.999999225E-04	  701.069505    
   12766	 0.899999833E-03	-0.180000038E-02	 0.399999928E-03	  701.079618    
   12767	 0.899999833E-03	-0.180000038E-02	 0.999999225E-04	  701.069505    
   12763	 0.899999833E-03	-0.150000036E-02	 0.399999928E-03	  701.079618    
   12764	 0.899999833E-03	-0.150000036E-02	 0.999999225E-04	  701.069505    
   12760	 0.899999833E-03	-0.120000033E-02	 0.399999928E-03	  701.079618    
   12761	 0.899999833E-03	-0.120000033E-02	 0.999999225E-04	  701.069505    
   12757	 0.899999833E-03	-0.900000310E-03	 0.399999928E-03	  701.079618    
   12758	 0.899999833E-03	-0.900000310E-03	 0.999999225E-04	  701.069505    
   12754	 0.899999833E-03	-0.600000286E-03	 0.399999928E-03	  701.079618    
   12755	 0.899999833E-03	-0.600000286E-03	 0.999999225E-04	  701.069505    
   12716	 0.119999986E-02	-0.270000045E-02	 0.399999928E-03	  701.079618    
   12712	 0.119999986E-02	-0.240000043E-02	 0.399999928E-03	  701.079618    
   12718	 0.119999986E-02	-0.270000045E-02	 0.999999225E-04	  701.069505    
   12713	 0.119999986E-02	-0.240000043E-02	 0.999999225E-04	  701.069505    
   12709	 0.119999986E-02	-0.210000040E-02	 0.399999928E-03	  701.079618    
   12710	 0.119999986E-02	-0.210000040E-02	 0.999999225E-04	  701.069505    
   12706	 0.119999986E-02	-0.180000038E-02	 0.399999928E-03	  701.079618    
   12707	 0.119999986E-02	-0.180000038E-02	 0.999999225E-04	  701.069505    
   12703	 0.119999986E-02	-0.150000036E-02	 0.399999928E-03	  701.079618    
   12704	 0.119999986E-02	-0.150000036E-02	 0.999999225E-04	  701.069505    
   12700	 0.119999986E-02	-0.120000033E-02	 0.399999928E-03	  701.079618    
   12701	 0.119999986E-02	-0.120000033E-02	 0.999999225E-04	  701.069505    
   12697	 0.119999986E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   12698	 0.119999986E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   12694	 0.119999986E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   12695	 0.119999986E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   12717	 0.149999988E-02	-0.270000045E-02	 0.399999928E-03	  701.079618    
   12655	 0.149999988E-02	-0.240000043E-02	 0.399999928E-03	  701.079618    
   12719	 0.149999988E-02	-0.270000045E-02	 0.999999225E-04	  701.069505    
   12656	 0.149999988E-02	-0.240000043E-02	 0.999999225E-04	  701.069505    
   12652	 0.149999988E-02	-0.210000040E-02	 0.399999928E-03	  701.079618    
   12653	 0.149999988E-02	-0.210000040E-02	 0.999999225E-04	  701.069505    
   12649	 0.149999988E-02	-0.180000038E-02	 0.399999928E-03	  701.079618    
   12650	 0.149999988E-02	-0.180000038E-02	 0.999999225E-04	  701.069505    
   12646	 0.149999988E-02	-0.150000036E-02	 0.399999928E-03	  701.079618    
   12647	 0.149999988E-02	-0.150000036E-02	 0.999999225E-04	  701.069505    
   12643	 0.149999988E-02	-0.120000033E-02	 0.399999928E-03	  701.079618    
   12644	 0.149999988E-02	-0.120000033E-02	 0.999999225E-04	  701.069505    
   12640	 0.149999988E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   12641	 0.149999988E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   12637	 0.149999988E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   12638	 0.149999988E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   12602	 0.179999990E-02	-0.240000043E-02	 0.399999928E-03	  701.079618    
   12598	 0.179999990E-02	-0.210000040E-02	 0.399999928E-03	  701.079618    
   12604	 0.179999990E-02	-0.240000043E-02	 0.999999225E-04	  701.069505    
   12599	 0.179999990E-02	-0.210000040E-02	 0.999999225E-04	  701.069505    
   12595	 0.179999990E-02	-0.180000038E-02	 0.399999928E-03	  701.079618    
   12596	 0.179999990E-02	-0.180000038E-02	 0.999999225E-04	  701.069505    
   12592	 0.179999990E-02	-0.150000036E-02	 0.399999928E-03	  701.079618    
   12593	 0.179999990E-02	-0.150000036E-02	 0.999999225E-04	  701.069505    
   12589	 0.179999990E-02	-0.120000033E-02	 0.399999928E-03	  701.079618    
   12590	 0.179999990E-02	-0.120000033E-02	 0.999999225E-04	  701.069505    
   12586	 0.179999990E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   12587	 0.179999990E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   12583	 0.179999990E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   12584	 0.179999990E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   12603	 0.209999993E-02	-0.240000043E-02	 0.399999928E-03	  701.079618    
   12545	 0.209999993E-02	-0.210000040E-02	 0.399999928E-03	  701.079618    
   12605	 0.209999993E-02	-0.240000043E-02	 0.999999225E-04	  701.069505    
   12547	 0.209999993E-02	-0.210000040E-02	 0.999999225E-04	  701.069505    
   12539	 0.209999993E-02	-0.180000038E-02	 0.399999928E-03	  701.079618    
   12541	 0.209999993E-02	-0.180000038E-02	 0.999999225E-04	  701.069505    
   12535	 0.209999993E-02	-0.150000036E-02	 0.399999928E-03	  701.079618    
   12536	 0.209999993E-02	-0.150000036E-02	 0.999999225E-04	  701.069505    
   12532	 0.209999993E-02	-0.120000033E-02	 0.399999928E-03	  701.079618    
   12533	 0.209999993E-02	-0.120000033E-02	 0.999999225E-04	  701.069505    
   12529	 0.209999993E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   12530	 0.209999993E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
