AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:16:36
Title: --Static Structural
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Recoater-Interference
   12769	 0.899999833E-03	-0.210000040E-02	 0.399999928E-03	-0.730685893E-06
   12770	 0.899999833E-03	-0.210000040E-02	 0.999999225E-04	 0.103745234E-05
   12766	 0.899999833E-03	-0.180000038E-02	 0.399999928E-03	-0.730685889E-06
   12767	 0.899999833E-03	-0.180000038E-02	 0.999999225E-04	 0.103745235E-05
   12763	 0.899999833E-03	-0.150000036E-02	 0.399999928E-03	-0.730685885E-06
   12764	 0.899999833E-03	-0.150000036E-02	 0.999999225E-04	 0.103745235E-05
   12760	 0.899999833E-03	-0.120000033E-02	 0.399999928E-03	-0.730685881E-06
   12761	 0.899999833E-03	-0.120000033E-02	 0.999999225E-04	 0.103745235E-05
   12757	 0.899999833E-03	-0.900000310E-03	 0.399999928E-03	-0.730685876E-06
   12758	 0.899999833E-03	-0.900000310E-03	 0.999999225E-04	 0.103745236E-05
   12754	 0.899999833E-03	-0.600000286E-03	 0.399999928E-03	-0.730685870E-06
   12755	 0.899999833E-03	-0.600000286E-03	 0.999999225E-04	 0.103745237E-05
   12716	 0.119999986E-02	-0.270000045E-02	 0.399999928E-03	-0.730685886E-06
   12712	 0.119999986E-02	-0.240000043E-02	 0.399999928E-03	-0.730685883E-06
   12718	 0.119999986E-02	-0.270000045E-02	 0.999999225E-04	 0.103745235E-05
   12713	 0.119999986E-02	-0.240000043E-02	 0.999999225E-04	 0.103745235E-05
   12709	 0.119999986E-02	-0.210000040E-02	 0.399999928E-03	-0.730685880E-06
   12710	 0.119999986E-02	-0.210000040E-02	 0.999999225E-04	 0.103745236E-05
   12706	 0.119999986E-02	-0.180000038E-02	 0.399999928E-03	-0.730685877E-06
   12707	 0.119999986E-02	-0.180000038E-02	 0.999999225E-04	 0.103745236E-05
   12703	 0.119999986E-02	-0.150000036E-02	 0.399999928E-03	-0.730685873E-06
   12704	 0.119999986E-02	-0.150000036E-02	 0.999999225E-04	 0.103745236E-05
   12700	 0.119999986E-02	-0.120000033E-02	 0.399999928E-03	-0.730685868E-06
   12701	 0.119999986E-02	-0.120000033E-02	 0.999999225E-04	 0.103745237E-05
   12697	 0.119999986E-02	-0.900000310E-03	 0.399999928E-03	-0.730685863E-06
   12698	 0.119999986E-02	-0.900000310E-03	 0.999999225E-04	 0.103745237E-05
