AM High Strain File
ANSYS 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:20:42
Title: --Static Structural
Node Number	X Coordinate	Y Coordinate	Z Coordinate	High Strain Value
   13319	-0.180000038E-02	-0.180000038E-02	 0.999999225E-04	 0.155893498E-02
   13317	-0.180000038E-02	-0.180000038E-02	 0.699999934E-03	 0.408136504E-02
     661	-0.180000038E-02	-0.180000038E-02	 0.999999940E-03	 0.801429916E-03
     662	-0.180000038E-02	-0.180000038E-02	 0.129999995E-02	 0.263038805E-03
     663	-0.180000038E-02	-0.180000038E-02	 0.159999995E-02	 0.217818242E-03
     664	-0.180000038E-02	-0.180000038E-02	 0.189999996E-02	 0.855103081E-04
     665	-0.180000038E-02	-0.180000038E-02	 0.219999996E-02	 0.441460685E-04
     666	-0.180000038E-02	-0.180000038E-02	 0.249999997E-02	 0.269432827E-04
     667	-0.180000038E-02	-0.180000038E-02	 0.279999998E-02	 0.195306665E-04
     668	-0.180000038E-02	-0.180000038E-02	 0.309999998E-02	 0.158093287E-04
     669	-0.180000038E-02	-0.180000038E-02	 0.339999999E-02	 0.122340712E-04
     670	-0.180000038E-02	-0.180000038E-02	 0.369999999E-02	 0.826492171E-05
     671	-0.180000038E-02	-0.180000038E-02	 0.400000000E-02	 0.676963954E-05
     827	-0.180000038E-02	-0.270000045E-02	 0.129999995E-02	 0.352583942E-03
     826	-0.180000038E-02	-0.270000045E-02	 0.999999940E-03	 0.565381955E-03
     831	-0.150000036E-02	-0.240000043E-02	 0.129999995E-02	 0.339593375E-03
     829	-0.150000036E-02	-0.270000045E-02	 0.129999995E-02	 0.299267118E-03
     828	-0.150000036E-02	-0.270000045E-02	 0.999999940E-03	 0.123454983E-02
     830	-0.150000036E-02	-0.240000043E-02	 0.999999940E-03	 0.121497589E-02
     832	-0.180000038E-02	-0.270000045E-02	 0.159999995E-02	 0.450801571E-03
     834	-0.150000036E-02	-0.240000043E-02	 0.159999995E-02	 0.243846236E-03
     833	-0.150000036E-02	-0.270000045E-02	 0.159999995E-02	 0.304892899E-03
     835	-0.180000038E-02	-0.270000045E-02	 0.189999996E-02	 0.197200908E-03
     837	-0.150000036E-02	-0.240000043E-02	 0.189999996E-02	 0.942216850E-04
     836	-0.150000036E-02	-0.270000045E-02	 0.189999996E-02	 0.126649949E-03
     838	-0.180000038E-02	-0.270000045E-02	 0.219999996E-02	 0.110417750E-03
     840	-0.150000036E-02	-0.240000043E-02	 0.219999996E-02	 0.487883723E-04
     839	-0.150000036E-02	-0.270000045E-02	 0.219999996E-02	 0.690982562E-04
     841	-0.180000038E-02	-0.270000045E-02	 0.249999997E-02	 0.698471146E-04
     843	-0.150000036E-02	-0.240000043E-02	 0.249999997E-02	 0.300006469E-04
     842	-0.150000036E-02	-0.270000045E-02	 0.249999997E-02	 0.432867743E-04
     844	-0.180000038E-02	-0.270000045E-02	 0.279999998E-02	 0.487605512E-04
     846	-0.150000036E-02	-0.240000043E-02	 0.279999998E-02	 0.203824047E-04
     845	-0.150000036E-02	-0.270000045E-02	 0.279999998E-02	 0.298474892E-04
     847	-0.180000038E-02	-0.270000045E-02	 0.309999998E-02	 0.360355404E-04
     849	-0.150000036E-02	-0.240000043E-02	 0.309999998E-02	 0.148417830E-04
     848	-0.150000036E-02	-0.270000045E-02	 0.309999998E-02	 0.218900712E-04
     850	-0.180000038E-02	-0.270000045E-02	 0.339999999E-02	 0.278425644E-04
     852	-0.150000036E-02	-0.240000043E-02	 0.339999999E-02	 0.116286719E-04
     851	-0.150000036E-02	-0.270000045E-02	 0.339999999E-02	 0.168061870E-04
     853	-0.180000038E-02	-0.270000045E-02	 0.369999999E-02	 0.222232520E-04
     855	-0.150000036E-02	-0.240000043E-02	 0.369999999E-02	 0.943154542E-05
     854	-0.150000036E-02	-0.270000045E-02	 0.369999999E-02	 0.133564777E-04
     856	-0.180000038E-02	-0.270000045E-02	 0.400000000E-02	 0.181910526E-04
     858	-0.150000036E-02	-0.240000043E-02	 0.400000000E-02	 0.780348853E-05
     857	-0.150000036E-02	-0.270000045E-02	 0.400000000E-02	 0.108989209E-04
   13270	-0.150000036E-02	-0.240000043E-02	 0.399999928E-03	 0.404173259E-02
   13267	-0.150000036E-02	-0.210000040E-02	 0.399999928E-03	 0.260070959E-02
   13271	-0.150000036E-02	-0.240000043E-02	 0.999999225E-04	 0.168751405E-02
   13268	-0.150000036E-02	-0.210000040E-02	 0.999999225E-04	 0.156977510E-02
   13269	-0.150000036E-02	-0.240000043E-02	 0.699999934E-03	 0.711269026E-02
   13266	-0.150000036E-02	-0.210000040E-02	 0.699999934E-03	 0.403827931E-02
     859	-0.150000036E-02	-0.210000040E-02	 0.999999940E-03	 0.798886892E-03
     860	-0.150000036E-02	-0.210000040E-02	 0.129999995E-02	 0.268063520E-03
     861	-0.150000036E-02	-0.210000040E-02	 0.159999995E-02	 0.224501150E-03
     862	-0.150000036E-02	-0.210000040E-02	 0.189999996E-02	 0.876814493E-04
     863	-0.150000036E-02	-0.210000040E-02	 0.219999996E-02	 0.451606484E-04
     864	-0.150000036E-02	-0.210000040E-02	 0.249999997E-02	 0.275312850E-04
     865	-0.150000036E-02	-0.210000040E-02	 0.279999998E-02	 0.192638647E-04
     866	-0.150000036E-02	-0.210000040E-02	 0.309999998E-02	 0.155428056E-04
     867	-0.150000036E-02	-0.210000040E-02	 0.339999999E-02	 0.121913106E-04
     868	-0.150000036E-02	-0.210000040E-02	 0.369999999E-02	 0.849259746E-05
     869	-0.150000036E-02	-0.210000040E-02	 0.400000000E-02	 0.703552592E-05
   13264	-0.150000036E-02	-0.180000038E-02	 0.399999928E-03	 0.234448568E-02
   13265	-0.150000036E-02	-0.180000038E-02	 0.999999225E-04	 0.156104619E-02
   13263	-0.150000036E-02	-0.180000038E-02	 0.699999934E-03	 0.386112761E-02
     870	-0.150000036E-02	-0.180000038E-02	 0.999999940E-03	 0.779748508E-03
     871	-0.150000036E-02	-0.180000038E-02	 0.129999995E-02	 0.258576794E-03
     872	-0.150000036E-02	-0.180000038E-02	 0.159999995E-02	 0.222217231E-03
     873	-0.150000036E-02	-0.180000038E-02	 0.189999996E-02	 0.868561689E-04
     874	-0.150000036E-02	-0.180000038E-02	 0.219999996E-02	 0.448030554E-04
     875	-0.150000036E-02	-0.180000038E-02	 0.249999997E-02	 0.271407151E-04
     876	-0.150000036E-02	-0.180000038E-02	 0.279999998E-02	 0.183237748E-04
     877	-0.150000036E-02	-0.180000038E-02	 0.309999998E-02	 0.148746180E-04
     878	-0.150000036E-02	-0.180000038E-02	 0.339999999E-02	 0.109857862E-04
     879	-0.150000036E-02	-0.180000038E-02	 0.369999999E-02	 0.815813929E-05
     880	-0.150000036E-02	-0.180000038E-02	 0.400000000E-02	 0.676069906E-05
    1058	-0.150000036E-02	-0.300000048E-02	 0.129999995E-02	 0.290286649E-03
    1057	-0.150000036E-02	-0.300000048E-02	 0.999999940E-03	 0.205886199E-03
    1062	-0.120000033E-02	-0.270000045E-02	 0.129999995E-02	 0.333190855E-03
    1060	-0.120000033E-02	-0.300000048E-02	 0.129999995E-02	 0.251011420E-03
    1059	-0.120000033E-02	-0.300000048E-02	 0.999999940E-03	 0.215780663E-03
    1061	-0.120000033E-02	-0.270000045E-02	 0.999999940E-03	 0.106668717E-02
    1063	-0.150000036E-02	-0.300000048E-02	 0.159999995E-02	 0.333724594E-03
    1065	-0.120000033E-02	-0.270000045E-02	 0.159999995E-02	 0.201256769E-03
    1064	-0.120000033E-02	-0.300000048E-02	 0.159999995E-02	 0.291055866E-03
    1066	-0.150000036E-02	-0.300000048E-02	 0.189999996E-02	 0.155261953E-03
    1068	-0.120000033E-02	-0.270000045E-02	 0.189999996E-02	 0.807213731E-04
    1067	-0.120000033E-02	-0.300000048E-02	 0.189999996E-02	 0.134543937E-03
    1069	-0.150000036E-02	-0.300000048E-02	 0.219999996E-02	 0.874168760E-04
    1071	-0.120000033E-02	-0.270000045E-02	 0.219999996E-02	 0.432058812E-04
    1070	-0.120000033E-02	-0.300000048E-02	 0.219999996E-02	 0.761057534E-04
    1072	-0.150000036E-02	-0.300000048E-02	 0.249999997E-02	 0.559181167E-04
    1074	-0.120000033E-02	-0.270000045E-02	 0.249999997E-02	 0.270852374E-04
